"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","mailingaddress","businessaddress","url"
"FLEX","Flex Ltd.",11.87,"$6.32B",1994,"Technology","Electrical Products","NASDAQ","2 CHANGI SOUTH LANE,,SINGAPORE U0 486123","2 CHANGI SOUTH LANE,,SINGAPORE U0 486123,(65) 6876-9899","https://www.sec.gov//Archives/edgar/data/866374/000086637418000007/flex331201810-k.htm"
"FLGT","Fulgent Genetics, Inc.",3.61,"$65.05M",2016,"Health Care","Medical Specialities","NASDAQ","4978 SANTA ANITA AVENUE, SUITE 205,,TEMPLE CITY CA 91780","4978 SANTA ANITA AVENUE, SUITE 205,,TEMPLE CITY CA 91780,626-350-0537","https://www.sec.gov//Archives/edgar/data/1674930/000156459018006239/flgt-10k_20171231.htm"
"FLIC","The First of Long Island Corporation",20.57,"$522.91M",NA,"Finance","Major Banks","NASDAQ","10 GLEN HEAD ROAD,,GLEN HEAD NY 11545","10 GLEN HEAD RD,,GLEN HEAD NY 11545,5166714900","https://www.sec.gov//Archives/edgar/data/740663/000074066318000011/flic-20171231x10k.htm"
"FLIR","FLIR Systems, Inc.",55.86,"$7.71B",1993,"Capital Goods","Industrial Machinery/Components","NASDAQ","27700 SW PARKWAY AVENUE,,WILSONVILLE OR 97070","27700 SW PARKWAY AVENUE,,WILSONVILLE OR 97070,5034983547","https://www.sec.gov//Archives/edgar/data/354908/000035490818000014/flir-12312017x10k.htm"
"FLKS","Flex Pharma, Inc.",0.582,"$10.52M",2015,"Health Care","Major Pharmaceuticals","NASDAQ","800 BOYLSTON STREET,24TH FLOOR,,BOSTON MA 02199","800 BOYLSTON STREET,24TH FLOOR,,BOSTON MA 02199,617-874-1821","https://www.sec.gov//Archives/edgar/data/1615219/000161521918000018/flks2017123110-k.htm"
"FLL","Full House Resorts, Inc.",2.74,"$73.79M",NA,"Consumer Services","Hotels/Resorts","NASDAQ","ONE SUMMERLIN,1980 FESTIVAL PLAZA DR, STE 680,,LAS VEGAS NV 89135","ONE SUMMERLIN,1980 FESTIVAL PLAZA DR, STE 680,,LAS VEGAS NV 89135,7022217800","https://www.sec.gov//Archives/edgar/data/891482/000089148218000010/fullhouseresorts10k2017.htm"
"FLNT","Fluent, Inc.",2.38,"$179.19M",NA,"Consumer Services","Advertising","NASDAQ","33 WHITEHALL STREET,15TH FLOOR,,NEW YORK NY 10004","33 WHITEHALL STREET,15TH FLOOR,,NEW YORK NY 10004,6466697272","https://www.sec.gov//Archives/edgar/data/1460329/000156459018005647/cogt-10k_20171231.htm"
"FLWS","1-800 FLOWERS.COM, Inc.",10.76,"$695M",1999,"Consumer Services","Other Specialty Stores","NASDAQ","ONE OLD COUNTRY ROAD,SUITE 500,,CARLE PLACE NY 11514","ONE OLD COUNTRY ROAD,SUITE 500,,CARLE PLACE NY 11514,5162376000","https://www.sec.gov//Archives/edgar/data/1084869/000143774918017027/flws20180701_10k.htm"
"FLXN","Flexion Therapeutics, Inc.",18.94,"$716.23M",2014,"Health Care","Major Pharmaceuticals","NASDAQ","10 MALL ROAD,SUITE 301,,BURLINGTON MA 01803","10 MALL ROAD,SUITE 301,,BURLINGTON MA 01803,(781) 305-7777","https://www.sec.gov//Archives/edgar/data/1419600/000156459018004912/flxn-10k_20171231.htm"
"FMAO","Farmers & Merchants Bancorp, Inc.",41.23,"$381.95M",NA,"Finance","Savings Institutions","NASDAQ","307-11 NORTH DEFIANCE ST,,ARCHBOLD OH 43502","307-11 N DEFIANCE ST,,ARCHBOLD OH 43502,4194462501","https://www.sec.gov//Archives/edgar/data/792966/000119312518062514/d446169d10k.htm"
"FMBH","First Mid-Illinois Bancshares, Inc.",36.15,"$552.74M",NA,"Finance","Major Banks","NASDAQ","1515 CHARLESTON AVENUE,PO BOX 499,,MATTOON IL 61938","1515 CHARLESTON AVE,PO BOX 499,,MATTOON IL 61938,2172347454","https://www.sec.gov//Archives/edgar/data/700565/000070056518000032/fmbh-20171231x10k.htm"
"FMBI","First Midwest Bancorp, Inc.",24.64,"$2.62B",NA,"Finance","Major Banks","NASDAQ","8750 WEST BRYN MAWR AVENUE,SUITE 1300,,CHICAGO IL 60631","8750 WEST BRYN MAWR AVENUE,SUITE 1300,,CHICAGO IL 60631,6308757450","https://www.sec.gov//Archives/edgar/data/702325/000070232518000012/fmbi1231201710-k.htm"
"FMNB","Farmers National Banc Corp.",14.09,"$389.46M",NA,"Finance","Major Banks","NASDAQ","","20 S BROAD STREET,P O BOX 555,,CANFIELD OH 44406,3305333341","https://www.sec.gov//Archives/edgar/data/709337/000156459018004502/fmnb-10k_20171231.htm"
"FNCB","FNCB Bancorp Inc.",9.49,"$159.61M",NA,"Finance","Major Banks","NASDAQ","102 EAST DRINKER STREET,,DUNMORE PA 18512","102 EAST DRINKER STREET,,DUMORE PA 18512,7173486438","https://www.sec.gov//Archives/edgar/data/1035976/000143774918004315/fncb20171231_10k.htm"
"FNHC","FedNat Holding Company",20.95,"$266.73M",NA,"Finance","Property-Casualty Insurers","NASDAQ","14050 NW 14 STREET,SUITE 180,,SUNRISE FL 33323","14050 NW 14 STREET,SUITE 180,,SUNRISE FL 33323,8002932532","https://www.sec.gov//Archives/edgar/data/1069996/000106999618000003/fnhc-123117x10xk.htm"
"FNJN","Finjan Holdings, Inc.",3.95,"$107.61M",NA,"Miscellaneous","Multi-Sector Companies","NASDAQ","2000 UNIVERSITY AVENUE,SUITE 600,,EAST PALO ALTO CA 94303","2000 UNIVERSITY AVENUE,SUITE 600,,EAST PALO ALTO CA 94303,(650) 282-3228","https://www.sec.gov//Archives/edgar/data/1366340/000136634018000013/fnjn-20171231x10k.htm"
"FNKO","Funko, Inc.",18.22,"$880.41M",2017,"Consumer Non-Durables","Recreational Products/Toys","NASDAQ","2802 WETMORE AVE,,EVERETT WA 98201","2802 WETMORE AVE,,EVERETT WA 98201,425-783-3616","https://www.sec.gov//Archives/edgar/data/1704711/000156459018006124/fnko-10k_20171231.htm"
"FNLC","First Bancorp, Inc (ME)",27,"$293.08M",NA,"Finance","Major Banks","NASDAQ","P.O. BOX 940,,DAMARISCOTTA ME 04543","P.O. BOX 940,MAIN STREET,,DAMARISCOTTA ME 04543,2075633195","https://www.sec.gov//Archives/edgar/data/765207/000076520718000008/fnlc-20171231x10k.htm"
"FNSR","Finisar Corporation",17.8,"$2.09B",1999,"Technology","Semiconductors","NASDAQ","1389 MOFFETT PARK DR,,SUNNYVALE CA 94089","1389 MOFFETT PARK DR,,SUNNYVALE CA 94089,4085481000","https://www.sec.gov//Archives/edgar/data/1094739/000109473918000035/fnsr10kfy18.htm"
"FNWB","First Northwest Bancorp",14.59,"$167.57M",2015,"Finance","Banks","NASDAQ","105 WEST 8TH STREET,,PORT ANGELES WA 98362","105 WEST 8TH STREET,,PORT ANGELES WA 98362,(360) 457-0461","https://www.sec.gov//Archives/edgar/data/1556727/000093905717000386/fnwb-063017x10k.htm"
"FOLD","Amicus Therapeutics, Inc.",11.97,"$2.26B",2007,"Health Care","Major Pharmaceuticals","NASDAQ","1 CEDAR BROOK DRIVE,,CRANBURY NJ 08512","1 CEDAR BROOK DRIVE,,CRANBURY NJ 08512,(609) 662-2000","https://www.sec.gov//Archives/edgar/data/1178879/000104746918001199/a2232459z10-k.htm"
"FOMX","Foamix Pharmaceuticals Ltd.",5.14,"$209.86M",2014,"Consumer Durables","Specialty Chemicals","NASDAQ","2 HOLZMAN ST.,WEIZMANN SCIENCE PARK,,REHOVOT L3 76704","2 HOLZMAN ST.,WEIZMANN SCIENCE PARK,,REHOVOT L3 76704,97289316233","https://www.sec.gov//Archives/edgar/data/1606645/000117891318000707/zk1821288.htm"
"FORM","FormFactor, Inc.",12.5,"$923.28M",2003,"Technology","Semiconductors","NASDAQ","7005 SOUTHFRONT ROAD,,LIVERMORE CA 94551","7005 SOUTHFRONT ROAD,,LIVERMORE CA 94551,9252433522","https://www.sec.gov//Archives/edgar/data/1039399/000103939918000014/form-20171230x10k.htm"
"FORR","Forrester Research, Inc.",40.61,"$733.99M",1996,"Consumer Services","Diversified Commercial Services","NASDAQ","60 ACORN PARK DRIVE,,CAMBRIDGE MA 02140","60 ACORN PARK DRIVE,,CAMBRIDGE MA 02140,6176136000","https://www.sec.gov//Archives/edgar/data/1023313/000156459018005110/forr-10k_20171231.htm"
"FOSL","Fossil Group, Inc.",18.66,"$921.6M",1993,"Consumer Non-Durables","Consumer Specialties","NASDAQ","901 S CENTRAL EXPRESSWAY,,RICHARDSON TX 75080","901 S CENTRAL EXPRESSWAY,,RICHARDSON TX 75080,9722342525","https://www.sec.gov//Archives/edgar/data/883569/000088356918000010/fosl-20171230x10k.htm"
"FOX","Twenty-First Century Fox, Inc.",45.53,"$84.48B",NA,"Consumer Services","Television Services","NASDAQ","1211 AVENUE OF THE AMERICAS,,NEW YORK NY 10036","1211 AVENUE OF THE AMERICAS,,NEW YORK NY 10036,212-852-7000","https://www.sec.gov//Archives/edgar/data/1308161/000156459018021493/fox-10k_20180630.htm"
"FOXF","Fox Factory Holding Corp.",57.3,"$2.17B",2013,"Consumer Non-Durables","Motor Vehicles","NASDAQ","915 DISC DRIVE,,SCOTTS VALLEY CA 95066","915 DISC DRIVE,,SCOTTS VALLEY CA 95066,831-274-6500","https://www.sec.gov//Archives/edgar/data/1424929/000142492918000006/foxf2017-12x2910xk.htm"
"FPRX","Five Prime Therapeutics, Inc.",14.3,"$508.78M",2013,"Health Care","Major Pharmaceuticals","NASDAQ","111 OYSTER POINT BOULEVARD,,SOUTH SAN FRANCISCO CA 94080","111 OYSTER POINT BOULEVARD,,SOUTH SAN FRANCISCO CA 94080,415-365-5600","https://www.sec.gov//Archives/edgar/data/1175505/000156459018003511/fprx-10k_20171231.htm"
"FRAN","Francesca&#39;s Holdings Corporation",2.8,"$101.42M",2011,"Consumer Services","Clothing/Shoe/Accessory Stores","NASDAQ","8760 CLAY ROAD,,Houston TX 77080","8760 CLAY ROAD,,Houston TX 77080,713-864-1358","https://www.sec.gov//Archives/edgar/data/1399935/000114420418017543/tv488397_10k.htm"
"FRED","Fred&#39;s, Inc.",3.19,"$118.86M",1992,"Consumer Services","Department/Specialty Retail Stores","NASDAQ","4300 NEW GETWELL ROAD,,MEMPHIS TN 38118","4300 NEW GETWELL RD,,MEMPHIS TN 38118,9013658880","https://www.sec.gov//Archives/edgar/data/724571/000161577418003313/s109626_10k.htm"
"FRPT","Freshpet, Inc.",38.02,"$1.34B",2014,"Consumer Non-Durables","Packaged Foods","NASDAQ","400 PLAZA DRIVE, 1ST FLOOR,,SECAUCUS NJ 07094","400 PLAZA DRIVE, 1ST FLOOR,,SECAUCUS NJ 07094,201-520-4000","https://www.sec.gov//Archives/edgar/data/1611647/000156459018004715/frpt-10k_20171231.htm"
"FRSH","Papa Murphy&#39;s Holdings, Inc.",4.73,"$80.56M",2014,"Consumer Services","Restaurants","NASDAQ","8000 NE PARKWAY DRIVE,SUITE 350,,VANCOUVER WA 98662","8000 NE PARKWAY DRIVE,SUITE 350,,VANCOUVER WA 98662,360 260-7272","https://www.sec.gov//Archives/edgar/data/1592379/000159237918000007/frsh201710k.htm"
"FRTA","Forterra, Inc.",4.97,"$319.14M",2016,"Capital Goods","Building Materials","NASDAQ","511 E. JOHN CARPENTER FREEWAY,SUITE 600,,IRVING TX 75062","511 E. JOHN CARPENTER FREEWAY,SUITE 600,,IRVING TX 75062,469-458-7973","https://www.sec.gov//Archives/edgar/data/1678463/000167846318000019/frtaq41231201710k.htm"
"FSAC","Federal Street Acquisition Corp.",10.08,"$151.85M",2017,"Finance","Business Services","NASDAQ","C/O THOMAS H LEE PARTNERS, L.P.,100 FEDERAL STREET, 35TH FLOOR,,BOSTON MA 02110","C/O THOMAS H LEE PARTNERS, L.P.,100 FEDERAL STREET, 35TH FLOOR,,BOSTON MA 02110,617-227-1050","https://www.sec.gov//Archives/edgar/data/1701821/000110465918019873/a18-6241_110k.htm"
"FSBC","FSB Bancorp, Inc.",17.35,"$33.72M",NA,"Finance","Savings Institutions","NASDAQ","45 SOUTH MAIN STREET,,FAIRPORT NY 14450","45 SOUTH MAIN STREET,,FAIRPORT NY 14450,(585) 223-9080","https://www.sec.gov//Archives/edgar/data/1667939/000114420418018258/tv489342_10k.htm"
"FSBW","FS Bancorp, Inc.",47.81,"$177.31M",2012,"Finance","Banks","NASDAQ","6920 220TH STREET SW,SUITE 300,,MOUNTLAKE TERRACE WA 98043","6920 220TH STREET SW,SUITE 300,,MOUNTLAKE TERRACE WA 98043,800-683-0973","https://www.sec.gov//Archives/edgar/data/1530249/000155837018002203/fsbw-20171231x10k.htm"
"FSFG","First Savings Financial Group, Inc.",65.32,"$149.71M",NA,"Finance","Savings Institutions","NASDAQ","501 EAST LEWIS & CLARK PARKWAY,,CLARKSVILLE IN 47129","501 EAST LEWIS & CLARK PARKWAY,,CLARKSVILLE IN 47129,812-283-0724","https://www.sec.gov//Archives/edgar/data/1435508/000114420417063701/tv481097_10k.htm"
"FSLR","First Solar, Inc.",46.59,"$4.88B",2006,"Technology","Semiconductors","NASDAQ","350 WEST WASHINGTON STREET,SUITE 600,,TEMPE AZ 85281","350 WEST WASHINGTON STREET,SUITE 600,,TEMPE AZ 85281,(602) 414-9300","https://www.sec.gov//Archives/edgar/data/1274494/000127449418000011/fslr10-k12x31x2017.htm"
"FSTR","L.B. Foster Company",17.17,"$181.37M",NA,"Basic Industries","Metal Fabrications","NASDAQ","415 HOLIDAY DR,,PITTSBURGH PA 15220","415 HOLIDAY DR,,PITTSBURGH PA 15220,4129283431","https://www.sec.gov//Archives/edgar/data/352825/000035282518000004/lbfosterco10-k2017.htm"
"FTEK","Fuel Tech, Inc.",1.23,"$29.73M",NA,"Capital Goods","Pollution Control Equipment","NASDAQ","27601 BELLA VISTA PARKWAY,,WARRENVILLE IL 60555","27601 BELLA VISTA PARKWAY,,WARRENVILLE IL 60555,6308454433","https://www.sec.gov//Archives/edgar/data/846913/000084691318000031/ftek-20171231x10k.htm"
"FTNT","Fortinet, Inc.",81.2,"$13.73B",2009,"Technology","Computer peripheral equipment","NASDAQ","899 KIFER ROAD,,SUNNYVALE CA 94086","899 KIFER ROAD,,SUNNYVALE CA 94086,408-235-7700","https://www.sec.gov//Archives/edgar/data/1262039/000126203918000009/ftnt-201710xk.htm"
"FTR","Frontier Communications Corporation",5.48,"$579.84M",NA,"Public Utilities","Telecommunications Equipment","NASDAQ","401 MERRITT 7,,NORWALK CT 06851","401 MERRITT 7,,NORWALK CT 06851,2036145600","https://www.sec.gov//Archives/edgar/data/20520/000002052018000007/ftr-20171231x10k.htm"
"FULT","Fulton Financial Corporation",16.49,"$2.9B",NA,"Finance","Major Banks","NASDAQ","ONE PENN SQ,PO BOX 4887,,LANCASTER PA 17604","ONE PENN SQ,PO BOX 4887,,LANCASTER PA 17604,7172912411","https://www.sec.gov//Archives/edgar/data/700564/000070056418000010/fult1231201710k.htm"
"FUNC","First United Corporation",18.31,"$129.68M",NA,"Finance","Major Banks","NASDAQ","19 S SECOND ST,,OAKLAND MD 21550","19 S SECOND ST,,OAKLAND MD 21550,3013349471","https://www.sec.gov//Archives/edgar/data/763907/000114420418013891/tv485044_10k.htm"
"FUSB","First US Bancshares, Inc.",10.01,"$60.98M",NA,"Finance","Major Banks","NASDAQ","3291 U.S. HIGHWAY 280,,BIRMINGHAM AL 35243","3291 U.S. HIGHWAY 280,,BIRMINGHAM AL 35243,2055821084","https://www.sec.gov//Archives/edgar/data/717806/000143774918004716/fusb20170823_10k.htm"
"FVE","Five Star Senior Living Inc.",0.75,"$37.94M",NA,"Health Care","Hospital/Nursing Management","NASDAQ","400 CENTRE STREET,,NEWTON MA 02458","400 CENTRE STREET,,NEWTON MA 02458,(617) 796 8387","https://www.sec.gov//Archives/edgar/data/1159281/000115928118000007/a12312017-10kxdocument.htm"
"GABC","German American Bancorp, Inc.",32.06,"$785.04M",NA,"Finance","Major Banks","NASDAQ","711 MAIN STREET,,JASPER IN 47546","711 MAIN ST,P O BOX 810,,JASPER IN 47546,8124821314","https://www.sec.gov//Archives/edgar/data/714395/000071439518000009/gabc-123117x10k.htm"
"GAIA","Gaia, Inc.",15.8,"$282.82M",1999,"Consumer Services","Movies/Entertainment","NASDAQ","833 WEST BOULDER ROAD,,LOUISVILLE CO 80027-2452","833 WEST BOULDER ROAD,,LOUISVILLE CO 80027-2452,3032223600","https://www.sec.gov//Archives/edgar/data/1089872/000156459018003326/gaia-10k_20171231.htm"
"GAIN","Gladstone Investment Corporation",10.3,"$338.07M",2005,NA,NA,"NASDAQ","1521 WESTBRANCH DRIVE,SUITE 100,,MCLEAN VA 22102","1521 WESTBRANCH DRIVE,SUITE 100,,MCLEAN VA 22102,7032875800","https://www.sec.gov//Archives/edgar/data/1321741/000119312518164066/d588089d10k.htm"
"GARS","Garrison Capital Inc.",8.095,"$129.92M",2013,NA,NA,"NASDAQ","1290 AVENUE OF THE AMERICAS,SUITE 914,,NEW YORK NY 10014","1290 AVENUE OF THE AMERICAS,SUITE 914,,NEW YORK NY 10014,212 372 9500","https://www.sec.gov//Archives/edgar/data/1509892/000156459018004557/gars-10k_20171231.htm"
"GBCI","Glacier Bancorp, Inc.",41.36,"$3.5B",NA,"Finance","Major Banks","NASDAQ","49 COMMONS LOOP,,KALISPELL MT 59901","49 COMMONS LOOP,,KALISPELL MT 59901,406-751-7708","https://www.sec.gov//Archives/edgar/data/868671/000086867118000020/gbci-12312017x10k.htm"
"GBDC","Golub Capital BDC, Inc.",18.13,"$1.09B",2010,NA,NA,"NASDAQ","666 FIFTH AVENUE,18TH FLOOR,,NEW YORK NY 10103","666 FIFTH AVENUE,18TH FLOOR,,NEW YORK NY 10103,212.750.6060","https://www.sec.gov//Archives/edgar/data/1476765/000147676517000078/gbdc201710-k.htm"
"GBNK","Guaranty Bancorp",26.74,"$783.72M",NA,"Finance","Major Banks","NASDAQ","1331 SEVENTEENTH STREET, SUITE 200,,DENVER CO 80202","1331 SEVENTEENTH STREET, SUITE 200,,DENVER CO 80202,303-296-9600","https://www.sec.gov//Archives/edgar/data/1324410/000132441018000015/gbnk-20171231x10k.htm"
"GCBC","Greene County Bancorp, Inc.",31,"$264.67M",NA,"Finance","Banks","NASDAQ","302 MAIN STREET,,CATSKILL NY 12414","302 MAIN STREET,,CATSKILL NY 12414,5189432600","https://www.sec.gov//Archives/edgar/data/1070524/000114036118038309/form10k.htm"
"GDEN","Golden Entertainment, Inc.",20.91,"$575.28M",NA,"Consumer Services","Services-Misc. Amusement & Recreation","NASDAQ","6595 S JONES BLVD,,LAS VEGAS NV 89118","6595 S JONES BLVD,,LAS VEGAS NV 89118,7028914284","https://www.sec.gov//Archives/edgar/data/1071255/000156459018006007/gden-10k_20171231.htm"
"GEC","Great Elm Capital Group, Inc. ",3.3,"$85.48M",NA,"Technology","Computer Software: Prepackaged Software","NASDAQ","800 SOUTH STREET,SUITE 230,,WALTHAM MA 02453","800 SOUTH STREET,SUITE 230,,WALTHAM MA 02453,(617) 375-3006","https://www.sec.gov//Archives/edgar/data/1082506/000156459018023113/gec-10k_20180630.htm"
"GECC","Great Elm Capital Corp.",9.59,"$102.16M",NA,NA,NA,"NASDAQ","800 SOUTH STREET,SUITE 230,,WALTHAM MA 02453","800 SOUTH STREET,SUITE 230,,WALTHAM MA 02453,617-375-3006","https://www.sec.gov//Archives/edgar/data/1675033/000156459018005219/gecc-10k_20171231.htm"
"GENC","Gencor Industries Inc.",11.26,"$163.2M",NA,"Capital Goods","Construction/Ag Equipment/Trucks","NASDAQ","5201 N ORANGE BLOSSOM,,ORLANDO FL 32810","5201 N ORANGE BLOSSOM TRAIL,,ORLANDO FL 32810,4072906000","https://www.sec.gov//Archives/edgar/data/64472/000119312517362916/d325772d10k.htm"
"GERN","Geron Corporation",1.67,"$306.65M",1996,"Health Care","Major Pharmaceuticals","NASDAQ","149 COMMONWEALTH DRIVE,SUITE 2070,,MENLO PARK CA 94025","149 COMMONWEALTH DRIVE,SUITE 2070,,MENLO PARK CA 94025,6504737700","https://www.sec.gov//Archives/edgar/data/886744/000156459018006051/gern-10k_20171231.htm"
"GEVO","Gevo, Inc.",3.59,"$29.03M",2011,"Basic Industries","Major Chemicals","NASDAQ","345 INVERNESS DRIVE SOUTH, BUILDING C,Suite 310,,ENGLEWOOD CO 80112","345 INVERNESS DRIVE SOUTH, BUILDING C,Suite 310,,ENGLEWOOD CO 80112,303-858-8358","https://www.sec.gov//Archives/edgar/data/1392380/000156459018006978/gevo-10k_20171231.htm"
"GFED","Guaranty Federal Bancshares, Inc.",24.8,"$110.4M",NA,"Finance","Major Banks","NASDAQ","1341 WEST BATTLEFIELD,,SPRINGFIELD MO 65807","1341 WEST BATTLEFIELD,,SPRINGFIELD MO 65807,4175204333","https://www.sec.gov//Archives/edgar/data/1046203/000143774918005913/gfed20171231_10k.htm"
"GHDX","Genomic Health, Inc.",64.4,"$2.31B",2005,"Health Care","Medical Specialities","NASDAQ","301 PENOBSCOT DRIVE,,REDWOOD CITY CA 94063","301 PENOBSCOT DRIVE,,REDWOOD CITY CA 94063,650-556-9300","https://www.sec.gov//Archives/edgar/data/1131324/000155837018002061/ghdx-20171231x10k.htm"
"GIFI","Gulf Island Fabrication, Inc.",9.01,"$135.54M",1997,"Capital Goods","Metal Fabrications","NASDAQ","16225 PARK TEN PLACE, SUITE 280,,HOUSTON TX 77084","16225 PARK TEN PLACE, SUITE 280,,HOUSTON TX 77084,7137146100","https://www.sec.gov//Archives/edgar/data/1031623/000103162318000014/gifi-12312017x10k.htm"
"GIII","G-III Apparel Group, LTD.",35.54,"$1.75B",1989,"Consumer Non-Durables","Apparel","NASDAQ","512 SEVENTH AVENUE,,NEW YORK NY 10018","512 SEVENTH AVE,,NEW YORK NY 10018,2126298830","https://www.sec.gov//Archives/edgar/data/821002/000114420418018565/tv489439-10k.htm"
"GILD","Gilead Sciences, Inc.",73.27,"$94.98B",1992,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","333 LAKESIDE DR,,FOSTER CITY CA 94404","333 LAKESIDE DR,,FOSTER CITY CA 94404,6505743000","https://www.sec.gov//Archives/edgar/data/882095/000088209518000008/a2017form10-k.htm"
"GLAD","Gladstone Capital Corporation",9.33,"$259.38M",2001,"Consumer Non-Durables","Textiles","NASDAQ","1521 WESTBRANCH DRIVE,SUITE 100,,MCLEAN VA 22102","1521 WESTBRANCH DRIVE,SUITE 100,,MCLEAN VA 22102,703-287-5800","https://www.sec.gov//Archives/edgar/data/1143513/000119312517348201/d497536d10k.htm"
"GLDD","Great Lakes Dredge & Dock Corporation",5.37,"$334.58M",NA,"Basic Industries","Military/Government/Technical","NASDAQ","2122 YORK ROAD,,OAK BROOK IL 60523","2122 YORK ROAD,,OAK BROOK IL 60523,630-574-3000","https://www.sec.gov//Archives/edgar/data/1372020/000156459018003940/gldd-10k_20171231.htm"
"GLIBA","GCI Liberty, Inc.",47.67,"$5.2B",NA,"Public Utilities","Telecommunications Equipment","NASDAQ","12300 LIBERTY BOULEVARD,,ENGLEWOOD CO 80112","12300 LIBERTY BOULEVARD,,ENGLEWOOD CO 80112,(720) 875-5900","https://www.sec.gov//Archives/edgar/data/808461/000080846118000067/gci10k12-31x2017.htm"
"GLRE","Greenlight Reinsurance, Ltd.",12.04,"$450.48M",2007,"Finance","Property-Casualty Insurers","NASDAQ","65 MARKET STREET, SUITE 1207,,CAMANA BAY, P.O. BOX 31110,,GRAND CAYMAN E9 KY1-1205","65 MARKET STREET, SUITE 1207,,CAMANA BAY, P.O. BOX 31110,,GRAND CAYMAN E9 KY1-1205,345 943 4573","https://www.sec.gov//Archives/edgar/data/1385613/000138561318000013/glre-20171231x10kdocument.htm"
"GLUU","Glu Mobile Inc.",5.84,"$828.14M",2007,"Technology","EDP Services","NASDAQ","875 HOWARD STREET, SUITE 100,,SAN FRANCISCO CA 94103","875 HOWARD STREET, SUITE 100,,SAN FRANCISCO CA 94103,415-800-6100","https://www.sec.gov//Archives/edgar/data/1366246/000155837018001808/gluu-20171231x10k.htm"
"GLYC","GlycoMimetics, Inc.",14.15,"$609.26M",2014,"Health Care","Major Pharmaceuticals","NASDAQ","9708 MEDICAL CENTER DRIVE,,ROCKVILLE MD 20850","9708 MEDICAL CENTER DRIVE,,ROCKVILLE MD 20850,240-243-1201","https://www.sec.gov//Archives/edgar/data/1253689/000155837018001553/glyc-20171231x10k.htm"
"GNCA","Genocea Biosciences, Inc.",0.724,"$62.72M",2014,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","100 ACORN PARK DRIVE,,CAMBRIDGE MA 02140","100 ACORN PARK DRIVE,,CAMBRIDGE MA 02140,617-876-8191","https://www.sec.gov//Archives/edgar/data/1457612/000145761218000019/gnca-20171231x10k.htm"
"GNMK","GenMark Diagnostics, Inc.",5.84,"$325.6M",2010,"Health Care","Medical/Dental Instruments","NASDAQ","5964 LA PLACE COURT,,CARLSBAD CA 92008","5964 LA PLACE COURT,,CARLSBAD CA 92008,(760) 448-4300","https://www.sec.gov//Archives/edgar/data/1487371/000148737118000040/gnmk1231201710-k.htm"
"GNMX","Aevi Genomic Medicine, Inc.",1.25,"$74.18M",NA,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","435 DEVON PARK DRIVE,,SUITE 715,,WAYNE PA 19087","435 DEVON PARK DRIVE,,SUITE 715,,WAYNE PA 19087,610-254-4201","https://www.sec.gov//Archives/edgar/data/1138776/000114420418014238/tv487967_10k.htm"
"GNPX","Genprex, Inc.",1.77,"$26.62M",2018,"Health Care","Major Pharmaceuticals","NASDAQ","1701 TRINITY STREET,SUITE 3.322,,AUSTIN TX 78712","1701 TRINITY STREET,SUITE 3.322,,AUSTIN TX 78712,512-708-0155","https://www.sec.gov//Archives/edgar/data/1595248/000156459018008342/gnpx-10k_20171231.htm"
"GNTX","Gentex Corporation",19.93,"$5.36B",NA,"Capital Goods","Auto Parts:O.E.M.","NASDAQ","600 N CENTENNIAL STREET,,ZEELAND MI 49464","600 N CENTENNIAL ST,,ZEELAND MI 49464,6167721800","https://www.sec.gov//Archives/edgar/data/355811/000035581118000009/gntx12312017-10k.htm"
"GNTY","Guaranty Bancshares, Inc.",29.36,"$351.17M",2017,"Finance","Major Banks","NASDAQ","201 SOUTH JEFFERSON AVENUE,,MOUNT PLEASANT TX 75455","201 SOUTH JEFFERSON AVENUE,,MOUNT PLEASANT TX 75455,9035729881","https://www.sec.gov//Archives/edgar/data/1058867/000105886718000028/gnty12311710-k.htm"
"GOOD","Gladstone Commercial Corporation",18.47,"$545.88M",2003,"Consumer Services","Real Estate","NASDAQ","1521 WESTBRANCH DRIVE,SUITE 100,,MCLEAN VA 22102","1521 WESTBRANCH DRIVE,SUITE 100,,MCLEAN VA 22102,703-287-5853","https://www.sec.gov//Archives/edgar/data/1234006/000123400618000003/good10-k2017123117.htm"
"GOOG","Alphabet Inc.",1096.46,"$762.78B",2004,"Technology","Computer Software: Programming, Data Processing","NASDAQ","1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW CA 94043","1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW CA 94043,650-253-0000","https://www.sec.gov//Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm"
"GOV","Government Properties Income Trust",9.8,"$972.37M",2009,"Finance","Real Estate","NASDAQ","C/O THE RMR GROUP,TWO NEWTON PL., 255 WASH. ST., STE. 300,,NEWTON MA 02458","C/O THE RMR GROUP,TWO NEWTON PL., 255 WASH. ST., STE. 300,,NEWTON MA 02458,(617) 219-1440","https://www.sec.gov//Archives/edgar/data/1456772/000145677218000008/gov_123117x10kdocument.htm"
